,precision,recall,f1-score,support
0,0.9084569544820591,0.9828532235939643,0.944191869275878,7290.0
1,0.3786407766990291,0.12380952380952381,0.18660287081339713,315.0
2,0.2802197802197802,0.17770034843205576,0.21748400852878466,287.0
3,0.1111111111111111,0.0182648401826484,0.03137254901960784,219.0
4,0.3942857142857143,0.2536764705882353,0.30872483221476504,272.0
accuracy,0.8741500656089706,0.8741500656089706,0.8741500656089706,0.8741500656089706
macro avg,0.4145428673595387,0.3112608813212855,0.3376752259704865,8383.0
weighted avg,0.829527038933142,0.8741500656089706,0.8463796116393705,8383.0
