,precision,recall,f1-score,support
0,0.9456862745098039,0.9923868312757201,0.9684738955823293,9720.0
1,0.6229508196721312,0.2714285714285714,0.3781094527363184,420.0
2,0.7376425855513308,0.5078534031413613,0.6015503875968992,382.0
3,0.4488888888888889,0.3447098976109215,0.38996138996138996,293.0
4,0.7026143790849673,0.5939226519337016,0.6437125748502994,362.0
accuracy,0.9188512123109958,0.9188512123109958,0.9188512123109958,0.9188512123109958
macro avg,0.6915565895414243,0.5420602710780552,0.5963615401454472,11177.0
weighted avg,0.9055524961842535,0.9188512123109958,0.9080654131364413,11177.0
