,precision,recall,f1-score,support
0,0.8969349013797574,0.9965020576131687,0.9441005896973537,9720.0
1,0.5,0.06428571428571428,0.11392405063291139,420.0
2,0.3389830508474576,0.05235602094240838,0.09070294784580497,382.0
3,0.0,0.0,0.0,293.0
4,0.4490566037735849,0.3287292817679558,0.379585326953748,362.0
accuracy,0.8814529838060302,0.8814529838060302,0.8814529838060302,0.8814529838060302
macro avg,0.43699491120016,0.2883746149218494,0.30566258302596366,11177.0
weighted avg,0.8249313104948565,0.8814529838060302,0.8407053992626334,11177.0
