,precision,recall,f1-score,support
0,0.9276815261825968,0.9805555555555555,0.9533860158047412,9720.0
1,0.42379182156133827,0.2714285714285714,0.33091436865021767,420.0
2,0.4,0.16753926701570682,0.23616236162361623,382.0
3,0.35,0.04778156996587031,0.08408408408408409,293.0
4,0.4147465437788018,0.4972375690607735,0.4522613065326633,362.0
accuracy,0.8860159255614207,0.8860159255614207,0.8860159255614207,0.8860159255614207
macro avg,0.5032439783045474,0.3929085066052955,0.41136162733906456,11177.0
weighted avg,0.8589554664398791,0.8860159255614207,0.8664637523661857,11177.0
