,precision,recall,f1-score,support
0,0.9571613159725674,0.9907407407407407,0.9736615944593298,9720.0
1,0.5642857142857143,0.3761904761904762,0.4514285714285714,420.0
2,0.7546468401486989,0.5314136125654451,0.6236559139784946,382.0
3,0.5586592178770949,0.3412969283276451,0.423728813559322,293.0
4,0.6391752577319587,0.6850828729281768,0.6613333333333333,362.0
accuracy,0.9250246040977006,0.9250246040977006,0.9250246040977006,0.9250246040977006
macro avg,0.6947856692032068,0.5849449261504968,0.6267616453518101,11177.0
weighted avg,0.9147312944732142,0.9250246040977006,0.917543389668428,11177.0
