,precision,recall,f1-score,support
0,0.8709420434176459,0.9997713763145862,0.9309207025013305,4374.0
1,0.6666666666666666,0.031746031746031744,0.06060606060606061,189.0
2,0.0,0.0,0.0,172.0
3,0.0,0.0,0.0,132.0
4,0.0,0.0,0.0,163.0
accuracy,0.8705765407554672,0.8705765407554672,0.8705765407554672,0.8705765407554672
macro avg,0.3075217420168625,0.20630348161212358,0.19830535262147825,5030.0
weighted avg,0.7824056655882272,0.8705765407554672,0.8117896020269115,5030.0
