,precision,recall,f1-score,support
0,0.9016408726459071,0.9949588477366255,0.9460041083830578,9720.0
1,0.2857142857142857,0.004761904761904762,0.009367681498829042,420.0
2,0.3443396226415094,0.19109947643979058,0.24579124579124575,382.0
3,1.0,0.0034129692832764505,0.006802721088435374,293.0
4,0.5151515151515151,0.3287292817679558,0.4013490725126475,362.0
accuracy,0.882705556052608,0.882705556052608,0.882705556052608,0.882705556052608
macro avg,0.6093692592306434,0.3045924959979106,0.3218629658548431,11177.0
weighted avg,0.8495098744253488,0.882705556052608,0.8446155656377897,11177.0
